Category,Exclude
"Benedictions",0
"Childhood",0
"Christmas",1
"Commitment",0
"Consecration-Service",0
"Creed ",0
"Desire for God",0
"Faith and Trust",0
"God`s Love",0
"Grace",0
"Harvest",0
"Hymn",0
"Invitation",0
"Liturgy",0
"Notice",0
"Praise",0
"Response",0
"Slow",0
"The Life to Come",0
